Voucher Type,Invoice No,Date,Ref,Dr Account,Cr.Account,Cost Center,Amount,Narration
sales,6294,31-07-2014,00937 / NATIONAL,,Agency charges,00937 / NATIONAL,1530,JOBNO:00937/ AWB/BL.NO.:17686910202 dt.19/07/2014/ BE.NO.:6227305 dt.24/07/2014/ PF METER (COMBINATION SENSOR FOR MATRIC POTENTIAL AND TEMPERATURE NEW PATENTED MEASURING TECHNIQUE) (5 PCS @ EUR 698.00 / PCS)/ 1 PKG/2.400 KGS/ NIOT/S&P/GASHYD/1168,
sales,6294,31-07-2014,00937 / NATIONAL,,AAI Charges,00937 / NATIONAL,1960,JOBNO:00937/ AWB/BL.NO.:17686910202 dt.19/07/2014/ BE.NO.:6227305 dt.24/07/2014/ PF METER (COMBINATION SENSOR FOR MATRIC POTENTIAL AND TEMPERATURE NEW PATENTED MEASURING TECHNIQUE) (5 PCS @ EUR 698.00 / PCS)/ 1 PKG/2.400 KGS/ NIOT/S&P/GASHYD/1168,
sales,6294,31-07-2014,00937 / NATIONAL,,DO CHARGES,00937 / NATIONAL,1573,JOBNO:00937/ AWB/BL.NO.:17686910202 dt.19/07/2014/ BE.NO.:6227305 dt.24/07/2014/ PF METER (COMBINATION SENSOR FOR MATRIC POTENTIAL AND TEMPERATURE NEW PATENTED MEASURING TECHNIQUE) (5 PCS @ EUR 698.00 / PCS)/ 1 PKG/2.400 KGS/ NIOT/S&P/GASHYD/1168,
sales,6294,31-07-2014,00937 / NATIONAL,,Service Tax,00937 / NATIONAL,189.108,JOBNO:00937/ AWB/BL.NO.:17686910202 dt.19/07/2014/ BE.NO.:6227305 dt.24/07/2014/ PF METER (COMBINATION SENSOR FOR MATRIC POTENTIAL AND TEMPERATURE NEW PATENTED MEASURING TECHNIQUE) (5 PCS @ EUR 698.00 / PCS)/ 1 PKG/2.400 KGS/ NIOT/S&P/GASHYD/1168,
sales,6295,31-07-2014,00914 / TEJA,TEJA INDUSTRIES,,00914 / TEJA,25883.38,JOBNO:00914/ AWB/BL.NO.:15781282320 dt.17/07/2014/ BE.NO.:6247692 dt.26/07/2014/ ELASTIC BRAID  75PP+25EL (15 MTR @ EUR 2.9900/MTR)/ 1 PKG/320 KGS/ ,
sales,6295,31-07-2014,00914 / TEJA,,Agency charges,00914 / TEJA,2000,JOBNO:00914/ AWB/BL.NO.:15781282320 dt.17/07/2014/ BE.NO.:6247692 dt.26/07/2014/ ELASTIC BRAID  75PP+25EL (15 MTR @ EUR 2.9900/MTR)/ 1 PKG/320 KGS/ ,
sales,6295,31-07-2014,00914 / TEJA,,Documentation charges,00914 / TEJA,250,JOBNO:00914/ AWB/BL.NO.:15781282320 dt.17/07/2014/ BE.NO.:6247692 dt.26/07/2014/ ELASTIC BRAID  75PP+25EL (15 MTR @ EUR 2.9900/MTR)/ 1 PKG/320 KGS/ ,
sales,6295,31-07-2014,00914 / TEJA,,Delivery Expenses,00914 / TEJA,300,JOBNO:00914/ AWB/BL.NO.:15781282320 dt.17/07/2014/ BE.NO.:6247692 dt.26/07/2014/ ELASTIC BRAID  75PP+25EL (15 MTR @ EUR 2.9900/MTR)/ 1 PKG/320 KGS/ ,
sales,6295,31-07-2014,00914 / TEJA,,License/bond Formalities,00914 / TEJA,4500,JOBNO:00914/ AWB/BL.NO.:15781282320 dt.17/07/2014/ BE.NO.:6247692 dt.26/07/2014/ ELASTIC BRAID  75PP+25EL (15 MTR @ EUR 2.9900/MTR)/ 1 PKG/320 KGS/ ,
sales,6295,31-07-2014,00914 / TEJA,,Custom Sundries,00914 / TEJA,7500,JOBNO:00914/ AWB/BL.NO.:15781282320 dt.17/07/2014/ BE.NO.:6247692 dt.26/07/2014/ ELASTIC BRAID  75PP+25EL (15 MTR @ EUR 2.9900/MTR)/ 1 PKG/320 KGS/ ,
sales,6295,31-07-2014,00914 / TEJA,,AAI Charges,00914 / TEJA,9535,JOBNO:00914/ AWB/BL.NO.:15781282320 dt.17/07/2014/ BE.NO.:6247692 dt.26/07/2014/ ELASTIC BRAID  75PP+25EL (15 MTR @ EUR 2.9900/MTR)/ 1 PKG/320 KGS/ ,
sales,6295,31-07-2014,00914 / TEJA,,Service Tax,00914 / TEJA,1798.38,JOBNO:00914/ AWB/BL.NO.:15781282320 dt.17/07/2014/ BE.NO.:6247692 dt.26/07/2014/ ELASTIC BRAID  75PP+25EL (15 MTR @ EUR 2.9900/MTR)/ 1 PKG/320 KGS/ ,
sales,6296,31-07-2014,00914 / TEJA,TEJA INDUSTRIES,,00914 / TEJA,1855.62,JOBNO:00914/ AWB/BL.NO.:15781282320 dt.17/07/2014/ BE.NO.:6247692 dt.26/07/2014/ ELASTIC BRAID  75PP+25EL (15 MTR @ EUR 2.9900/MTR)/ 1 PKG/320 KGS/ ,
sales,6296,31-07-2014,00914 / TEJA,,Transport Charges,00914 / TEJA,1800,JOBNO:00914/ AWB/BL.NO.:15781282320 dt.17/07/2014/ BE.NO.:6247692 dt.26/07/2014/ ELASTIC BRAID  75PP+25EL (15 MTR @ EUR 2.9900/MTR)/ 1 PKG/320 KGS/ ,
sales,6296,31-07-2014,00914 / TEJA,,Service Tax,00914 / TEJA,55.62,JOBNO:00914/ AWB/BL.NO.:15781282320 dt.17/07/2014/ BE.NO.:6247692 dt.26/07/2014/ ELASTIC BRAID  75PP+25EL (15 MTR @ EUR 2.9900/MTR)/ 1 PKG/320 KGS/ ,
sales,6297,31-07-2014,00735 / FERRUM,FERRUM EXTREME ENGINEERING PRIVATE LTD,,00735 / FERRUM,276419,JOBNO:00735/ AWB/BL.NO.:33101258 dt.22/06/2014/ BE.NO.:6224198 dt.24/07/2014/ USED UNION CNC FLOOR TYPE  HORIZONTAL BORING MILL (MODEL: PC130) (SERIAL NO.1350006) (EQUIPPED WITH: UNION DV20 CNC INFEEDING ROTARY TABLE (2) 3500 MM X 1750MM FLOOR PLATES   X TRAVEL 8 METERS  GLIDEMEISTER-DEVLIEG ETC. )/ 34 PKG/56400 KGS/ PROFORMA INVOICE,
sales,6297,31-07-2014,00735 / FERRUM,,CE Charges,00735 / FERRUM,33708,JOBNO:00735/ AWB/BL.NO.:33101258 dt.22/06/2014/ BE.NO.:6224198 dt.24/07/2014/ USED UNION CNC FLOOR TYPE  HORIZONTAL BORING MILL (MODEL: PC130) (SERIAL NO.1350006) (EQUIPPED WITH: UNION DV20 CNC INFEEDING ROTARY TABLE (2) 3500 MM X 1750MM FLOOR PLATES   X TRAVEL 8 METERS  GLIDEMEISTER-DEVLIEG ETC. )/ 34 PKG/56400 KGS/ PROFORMA INVOICE,
sales,6297,31-07-2014,00735 / FERRUM,,CFS Charges,00735 / FERRUM,60000,JOBNO:00735/ AWB/BL.NO.:33101258 dt.22/06/2014/ BE.NO.:6224198 dt.24/07/2014/ USED UNION CNC FLOOR TYPE  HORIZONTAL BORING MILL (MODEL: PC130) (SERIAL NO.1350006) (EQUIPPED WITH: UNION DV20 CNC INFEEDING ROTARY TABLE (2) 3500 MM X 1750MM FLOOR PLATES   X TRAVEL 8 METERS  GLIDEMEISTER-DEVLIEG ETC. )/ 34 PKG/56400 KGS/ PROFORMA INVOICE,
sales,6297,31-07-2014,00735 / FERRUM,,DO CHARGES,00735 / FERRUM,5618,JOBNO:00735/ AWB/BL.NO.:33101258 dt.22/06/2014/ BE.NO.:6224198 dt.24/07/2014/ USED UNION CNC FLOOR TYPE  HORIZONTAL BORING MILL (MODEL: PC130) (SERIAL NO.1350006) (EQUIPPED WITH: UNION DV20 CNC INFEEDING ROTARY TABLE (2) 3500 MM X 1750MM FLOOR PLATES   X TRAVEL 8 METERS  GLIDEMEISTER-DEVLIEG ETC. )/ 34 PKG/56400 KGS/ PROFORMA INVOICE,
sales,6297,31-07-2014,00735 / FERRUM,,DO CHARGES,00735 / FERRUM,60674,JOBNO:00735/ AWB/BL.NO.:33101258 dt.22/06/2014/ BE.NO.:6224198 dt.24/07/2014/ USED UNION CNC FLOOR TYPE  HORIZONTAL BORING MILL (MODEL: PC130) (SERIAL NO.1350006) (EQUIPPED WITH: UNION DV20 CNC INFEEDING ROTARY TABLE (2) 3500 MM X 1750MM FLOOR PLATES   X TRAVEL 8 METERS  GLIDEMEISTER-DEVLIEG ETC. )/ 34 PKG/56400 KGS/ PROFORMA INVOICE,
sales,6297,31-07-2014,00735 / FERRUM,,DO CHARGES,00735 / FERRUM,6180,JOBNO:00735/ AWB/BL.NO.:33101258 dt.22/06/2014/ BE.NO.:6224198 dt.24/07/2014/ USED UNION CNC FLOOR TYPE  HORIZONTAL BORING MILL (MODEL: PC130) (SERIAL NO.1350006) (EQUIPPED WITH: UNION DV20 CNC INFEEDING ROTARY TABLE (2) 3500 MM X 1750MM FLOOR PLATES   X TRAVEL 8 METERS  GLIDEMEISTER-DEVLIEG ETC. )/ 34 PKG/56400 KGS/ PROFORMA INVOICE,
sales,6297,31-07-2014,00735 / FERRUM,,DETENTION CHARGES,00735 / FERRUM,110239,JOBNO:00735/ AWB/BL.NO.:33101258 dt.22/06/2014/ BE.NO.:6224198 dt.24/07/2014/ USED UNION CNC FLOOR TYPE  HORIZONTAL BORING MILL (MODEL: PC130) (SERIAL NO.1350006) (EQUIPPED WITH: UNION DV20 CNC INFEEDING ROTARY TABLE (2) 3500 MM X 1750MM FLOOR PLATES   X TRAVEL 8 METERS  GLIDEMEISTER-DEVLIEG ETC. )/ 34 PKG/56400 KGS/ PROFORMA INVOICE,
sales,6297,31-07-2014,00735 / FERRUM,,Service Tax,00735 / FERRUM,0,JOBNO:00735/ AWB/BL.NO.:33101258 dt.22/06/2014/ BE.NO.:6224198 dt.24/07/2014/ USED UNION CNC FLOOR TYPE  HORIZONTAL BORING MILL (MODEL: PC130) (SERIAL NO.1350006) (EQUIPPED WITH: UNION DV20 CNC INFEEDING ROTARY TABLE (2) 3500 MM X 1750MM FLOOR PLATES   X TRAVEL 8 METERS  GLIDEMEISTER-DEVLIEG ETC. )/ 34 PKG/56400 KGS/ PROFORMA INVOICE,
sales,6298,01-08-2014,00693 / 20Microns,20 Microns Limited ,,00693 / 20Microns,272694.8,JOBNO:00693/ AWB/BL.NO.:MSCUEI029942 DT.23/05/2014/ BE.NO.:5917272 dt.25/06/2014/ LIME STONE/ 1080PKG / 207060KGS/ ,
sales,6298,01-08-2014,00693 / 20Microns,,Agency charges,00693 / 20Microns,33000,JOBNO:00693/ AWB/BL.NO.:MSCUEI029942 DT.23/05/2014/ BE.NO.:5917272 dt.25/06/2014/ LIME STONE/ 1080PKG / 207060KGS/ ,
sales,6298,01-08-2014,00693 / 20Microns,,CFS Charges,00693 / 20Microns,105882,JOBNO:00693/ AWB/BL.NO.:MSCUEI029942 DT.23/05/2014/ BE.NO.:5917272 dt.25/06/2014/ LIME STONE/ 1080PKG / 207060KGS/ ,
sales,6298,01-08-2014,00693 / 20Microns,,DO CHARGES,00693 / 20Microns,129734,JOBNO:00693/ AWB/BL.NO.:MSCUEI029942 DT.23/05/2014/ BE.NO.:5917272 dt.25/06/2014/ LIME STONE/ 1080PKG / 207060KGS/ ,
sales,6298,01-08-2014,00693 / 20Microns,,Service Tax,00693 / 20Microns,4078.8,JOBNO:00693/ AWB/BL.NO.:MSCUEI029942 DT.23/05/2014/ BE.NO.:5917272 dt.25/06/2014/ LIME STONE/ 1080PKG / 207060KGS/ ,
sales,6299,01-08-2014,00487 / 20Microns,20 Microns Limited ,,00487 / 20Microns,186890.28,JOBNO:00487/ AWB/BL.NO.:MSCUEI012088 dt.01/05/2014/ BE.NO.:5739734 dt.09/06/2014/ LIME STONE PWD-D (ASCOM 17)/ 6480 PKG/162300 KGS/ ,
sales,6299,01-08-2014,00487 / 20Microns,,Agency charges,00487 / 20Microns,19800,JOBNO:00487/ AWB/BL.NO.:MSCUEI012088 dt.01/05/2014/ BE.NO.:5739734 dt.09/06/2014/ LIME STONE PWD-D (ASCOM 17)/ 6480 PKG/162300 KGS/ ,
sales,6299,01-08-2014,00487 / 20Microns,,CFS Charges,00487 / 20Microns,69186,JOBNO:00487/ AWB/BL.NO.:MSCUEI012088 dt.01/05/2014/ BE.NO.:5739734 dt.09/06/2014/ LIME STONE PWD-D (ASCOM 17)/ 6480 PKG/162300 KGS/ ,
sales,6299,01-08-2014,00487 / 20Microns,,DO CHARGES,00487 / 20Microns,83457,JOBNO:00487/ AWB/BL.NO.:MSCUEI012088 dt.01/05/2014/ BE.NO.:5739734 dt.09/06/2014/ LIME STONE PWD-D (ASCOM 17)/ 6480 PKG/162300 KGS/ ,
sales,6299,01-08-2014,00487 / 20Microns,,De-stuffing Expenses,00487 / 20Microns,12000,JOBNO:00487/ AWB/BL.NO.:MSCUEI012088 dt.01/05/2014/ BE.NO.:5739734 dt.09/06/2014/ LIME STONE PWD-D (ASCOM 17)/ 6480 PKG/162300 KGS/ ,
sales,6299,01-08-2014,00487 / 20Microns,,Service Tax,00487 / 20Microns,2447.28,JOBNO:00487/ AWB/BL.NO.:MSCUEI012088 dt.01/05/2014/ BE.NO.:5739734 dt.09/06/2014/ LIME STONE PWD-D (ASCOM 17)/ 6480 PKG/162300 KGS/ ,
sales,6300,01-08-2014,00771 / OMSTONEX,OM STONEX,,00771 / OMSTONEX,367760.6,JOBNO:00771/ AWB/BL.NO.:EG2275432 dt.02/07/2014/ BE.NO.:5995224 dt.02/07/2014/ HONED MARBLE SLABS [POLISHED]/ 158 PKG/25950 KGS/ ,
sales,6300,01-08-2014,00771 / OMSTONEX,,Agency charges,00771 / OMSTONEX,3500,JOBNO:00771/ AWB/BL.NO.:EG2275432 dt.02/07/2014/ BE.NO.:5995224 dt.02/07/2014/ HONED MARBLE SLABS [POLISHED]/ 158 PKG/25950 KGS/ ,
sales,6300,01-08-2014,00771 / OMSTONEX,,CFS Charges,00771 / OMSTONEX,21573,JOBNO:00771/ AWB/BL.NO.:EG2275432 dt.02/07/2014/ BE.NO.:5995224 dt.02/07/2014/ HONED MARBLE SLABS [POLISHED]/ 158 PKG/25950 KGS/ ,
sales,6300,01-08-2014,00771 / OMSTONEX,,DO CHARGES,00771 / OMSTONEX,58187,JOBNO:00771/ AWB/BL.NO.:EG2275432 dt.02/07/2014/ BE.NO.:5995224 dt.02/07/2014/ HONED MARBLE SLABS [POLISHED]/ 158 PKG/25950 KGS/ ,
sales,6300,01-08-2014,00771 / OMSTONEX,,Custom Duty,00771 / OMSTONEX,255978,JOBNO:00771/ AWB/BL.NO.:EG2275432 dt.02/07/2014/ BE.NO.:5995224 dt.02/07/2014/ HONED MARBLE SLABS [POLISHED]/ 158 PKG/25950 KGS/ ,
sales,6300,01-08-2014,00771 / OMSTONEX,,Custom Sundries,00771 / OMSTONEX,25000,JOBNO:00771/ AWB/BL.NO.:EG2275432 dt.02/07/2014/ BE.NO.:5995224 dt.02/07/2014/ HONED MARBLE SLABS [POLISHED]/ 158 PKG/25950 KGS/ ,
sales,6300,01-08-2014,00771 / OMSTONEX,,Service Tax,00771 / OMSTONEX,3522.6,JOBNO:00771/ AWB/BL.NO.:EG2275432 dt.02/07/2014/ BE.NO.:5995224 dt.02/07/2014/ HONED MARBLE SLABS [POLISHED]/ 158 PKG/25950 KGS/ ,
sales,6301,01-08-2014,00924 / VALMAX,VALMAX,,00924 / VALMAX,26654.6,JOBNO:00924/ AWB/BL.NO.:23213662261 dt.22/07/2014/ BE.NO.:6232374 dt.25/07/2014/ AUTOMOBILE TIRES 165/80R14 MA307B (W) 62 X (L) (62 X (H) 170 CM/ 12 PCS/94 KGS/ ,
sales,6301,01-08-2014,00924 / VALMAX,,Agency charges,00924 / VALMAX,12000,JOBNO:00924/ AWB/BL.NO.:23213662261 dt.22/07/2014/ BE.NO.:6232374 dt.25/07/2014/ AUTOMOBILE TIRES 165/80R14 MA307B (W) 62 X (L) (62 X (H) 170 CM/ 12 PCS/94 KGS/ ,
sales,6301,01-08-2014,00924 / VALMAX,,AAI Charges,00924 / VALMAX,3465,JOBNO:00924/ AWB/BL.NO.:23213662261 dt.22/07/2014/ BE.NO.:6232374 dt.25/07/2014/ AUTOMOBILE TIRES 165/80R14 MA307B (W) 62 X (L) (62 X (H) 170 CM/ 12 PCS/94 KGS/ ,
sales,6301,01-08-2014,00924 / VALMAX,,Custom Duty,00924 / VALMAX,8021,JOBNO:00924/ AWB/BL.NO.:23213662261 dt.22/07/2014/ BE.NO.:6232374 dt.25/07/2014/ AUTOMOBILE TIRES 165/80R14 MA307B (W) 62 X (L) (62 X (H) 170 CM/ 12 PCS/94 KGS/ ,
sales,6301,01-08-2014,00924 / VALMAX,,Documentation Charges,00924 / VALMAX,500,JOBNO:00924/ AWB/BL.NO.:23213662261 dt.22/07/2014/ BE.NO.:6232374 dt.25/07/2014/ AUTOMOBILE TIRES 165/80R14 MA307B (W) 62 X (L) (62 X (H) 170 CM/ 12 PCS/94 KGS/ ,
sales,6301,01-08-2014,00924 / VALMAX,,Delivery Expenses,00924 / VALMAX,1000,JOBNO:00924/ AWB/BL.NO.:23213662261 dt.22/07/2014/ BE.NO.:6232374 dt.25/07/2014/ AUTOMOBILE TIRES 165/80R14 MA307B (W) 62 X (L) (62 X (H) 170 CM/ 12 PCS/94 KGS/ ,
sales,6301,01-08-2014,00924 / VALMAX,,Service Tax,00924 / VALMAX,1668.6,JOBNO:00924/ AWB/BL.NO.:23213662261 dt.22/07/2014/ BE.NO.:6232374 dt.25/07/2014/ AUTOMOBILE TIRES 165/80R14 MA307B (W) 62 X (L) (62 X (H) 170 CM/ 12 PCS/94 KGS/ ,
sales,6302,01-08-2014,00924 / VALMAX,VALMAX,,00924 / VALMAX,2061.8,JOBNO:00924/ AWB/BL.NO.:23213662261 dt.22/07/2014/ BE.NO.:6232374 dt.25/07/2014/ AUTOMOBILE TIRES 165/80R14 MA307B (W) 62 X (L) (62 X (H) 170 CM/ 12 PCS/94 KGS/ ,
sales,6302,01-08-2014,00924 / VALMAX,,Transport Charges,00924 / VALMAX,2000,JOBNO:00924/ AWB/BL.NO.:23213662261 dt.22/07/2014/ BE.NO.:6232374 dt.25/07/2014/ AUTOMOBILE TIRES 165/80R14 MA307B (W) 62 X (L) (62 X (H) 170 CM/ 12 PCS/94 KGS/ ,
sales,6302,01-08-2014,00924 / VALMAX,,Service Tax,00924 / VALMAX,61.8,JOBNO:00924/ AWB/BL.NO.:23213662261 dt.22/07/2014/ BE.NO.:6232374 dt.25/07/2014/ AUTOMOBILE TIRES 165/80R14 MA307B (W) 62 X (L) (62 X (H) 170 CM/ 12 PCS/94 KGS/ ,
sales,6303,01-08-2014,00894 / VALMAX,VALMAX,,00894 / VALMAX,28716.6,JOBNO:00894/ AWB/BL.NO.:23213662294 dt.17/07/2014/ BE.NO.:6187840 dt.21/07/2014/ AUTOMOBILE TIRES (165/80R14 MA307B (W)62X(L) 62X(H)17 CM) [BIS REG NO.CM/L-4043139]/ 8 PKG/62 KGS/ ,
sales,6303,01-08-2014,00894 / VALMAX,,Agency charges,00894 / VALMAX,12000,JOBNO:00894/ AWB/BL.NO.:23213662294 dt.17/07/2014/ BE.NO.:6187840 dt.21/07/2014/ AUTOMOBILE TIRES (165/80R14 MA307B (W)62X(L) 62X(H)17 CM) [BIS REG NO.CM/L-4043139]/ 8 PKG/62 KGS/ ,
sales,6303,01-08-2014,00894 / VALMAX,,AAI Charges,00894 / VALMAX,3380,JOBNO:00894/ AWB/BL.NO.:23213662294 dt.17/07/2014/ BE.NO.:6187840 dt.21/07/2014/ AUTOMOBILE TIRES (165/80R14 MA307B (W)62X(L) 62X(H)17 CM) [BIS REG NO.CM/L-4043139]/ 8 PKG/62 KGS/ ,
sales,6303,01-08-2014,00894 / VALMAX,,Custom Duty,00894 / VALMAX,10168,JOBNO:00894/ AWB/BL.NO.:23213662294 dt.17/07/2014/ BE.NO.:6187840 dt.21/07/2014/ AUTOMOBILE TIRES (165/80R14 MA307B (W)62X(L) 62X(H)17 CM) [BIS REG NO.CM/L-4043139]/ 8 PKG/62 KGS/ ,
sales,6303,01-08-2014,00894 / VALMAX,,Documentation Charges,00894 / VALMAX,500,JOBNO:00894/ AWB/BL.NO.:23213662294 dt.17/07/2014/ BE.NO.:6187840 dt.21/07/2014/ AUTOMOBILE TIRES (165/80R14 MA307B (W)62X(L) 62X(H)17 CM) [BIS REG NO.CM/L-4043139]/ 8 PKG/62 KGS/ ,
sales,6303,01-08-2014,00894 / VALMAX,,Delivery Expenses,00894 / VALMAX,1000,JOBNO:00894/ AWB/BL.NO.:23213662294 dt.17/07/2014/ BE.NO.:6187840 dt.21/07/2014/ AUTOMOBILE TIRES (165/80R14 MA307B (W)62X(L) 62X(H)17 CM) [BIS REG NO.CM/L-4043139]/ 8 PKG/62 KGS/ ,
sales,6303,01-08-2014,00894 / VALMAX,,Service Tax,00894 / VALMAX,1668.6,JOBNO:00894/ AWB/BL.NO.:23213662294 dt.17/07/2014/ BE.NO.:6187840 dt.21/07/2014/ AUTOMOBILE TIRES (165/80R14 MA307B (W)62X(L) 62X(H)17 CM) [BIS REG NO.CM/L-4043139]/ 8 PKG/62 KGS/ ,
sales,6304,01-08-2014,00723 / 20Microns,20 Microns Limited ,,00723 / 20Microns,273743.16,JOBNO:00723/ AWB/BL.NO.:864728128 dt.01/07/2014/ BE.NO.:6117346  dt.15/07/2014/ LIME LUMPS/ 140 BOU/17570 KGS/ ,
sales,6304,01-08-2014,00723 / 20Microns,,Agency charges,00723 / 20Microns,23100,JOBNO:00723/ AWB/BL.NO.:864728128 dt.01/07/2014/ BE.NO.:6117346  dt.15/07/2014/ LIME LUMPS/ 140 BOU/17570 KGS/ ,
sales,6304,01-08-2014,00723 / 20Microns,,CFS Charges,00723 / 20Microns,96612,JOBNO:00723/ AWB/BL.NO.:864728128 dt.01/07/2014/ BE.NO.:6117346  dt.15/07/2014/ LIME LUMPS/ 140 BOU/17570 KGS/ ,
sales,6304,01-08-2014,00723 / 20Microns,,DO CHARGES,00723 / 20Microns,151176,JOBNO:00723/ AWB/BL.NO.:864728128 dt.01/07/2014/ BE.NO.:6117346  dt.15/07/2014/ LIME LUMPS/ 140 BOU/17570 KGS/ ,
sales,6304,01-08-2014,00723 / 20Microns,,Service Tax,00723 / 20Microns,2855.16,JOBNO:00723/ AWB/BL.NO.:864728128 dt.01/07/2014/ BE.NO.:6117346  dt.15/07/2014/ LIME LUMPS/ 140 BOU/17570 KGS/ ,
sales,6305,01-08-2014,00723 / 20Microns,20 Microns Limited ,,00723 / 20Microns,289473.56,JOBNO:00723/ AWB/BL.NO.:864728128 dt.01/07/2014/ BE.NO.:6117346  dt.15/07/2014/ LIME LUMPS/ 140 BOU/17570 KGS/ ,
sales,6305,01-08-2014,00723 / 20Microns,,Agency charges,00723 / 20Microns,23100,JOBNO:00723/ AWB/BL.NO.:864728128 dt.01/07/2014/ BE.NO.:6117346  dt.15/07/2014/ LIME LUMPS/ 140 BOU/17570 KGS/ ,
sales,6305,01-08-2014,00723 / 20Microns,,CFS Charges,00723 / 20Microns,96612,JOBNO:00723/ AWB/BL.NO.:864728128 dt.01/07/2014/ BE.NO.:6117346  dt.15/07/2014/ LIME LUMPS/ 140 BOU/17570 KGS/ ,
sales,6305,01-08-2014,00723 / 20Microns,,DO CHARGES,00723 / 20Microns,151176,JOBNO:00723/ AWB/BL.NO.:864728128 dt.01/07/2014/ BE.NO.:6117346  dt.15/07/2014/ LIME LUMPS/ 140 BOU/17570 KGS/ ,
sales,6305,01-08-2014,00723 / 20Microns,,De-stuffing Expenses,00723 / 20Microns,14000,JOBNO:00723/ AWB/BL.NO.:864728128 dt.01/07/2014/ BE.NO.:6117346  dt.15/07/2014/ LIME LUMPS/ 140 BOU/17570 KGS/ ,
sales,6305,01-08-2014,00723 / 20Microns,,Service Tax,00723 / 20Microns,4585.56,JOBNO:00723/ AWB/BL.NO.:864728128 dt.01/07/2014/ BE.NO.:6117346  dt.15/07/2014/ LIME LUMPS/ 140 BOU/17570 KGS/ ,
sales,6306,01-08-2014,00704 / 20Microns,20 Microns Limited ,,00704 / 20Microns,179457.04,JOBNO:00704/ AWB/BL.NO.:MSCUEI036689 dt.31/07/2014/ BE.NO.:6117685 dt.15/07/2014/ LIME STONE PWD-J (ASCOM 30)/ 8320 PKG/208480 KGS/ ,
sales,6306,01-08-2014,00704 / 20Microns,,Agency charges,00704 / 20Microns,26400,JOBNO:00704/ AWB/BL.NO.:MSCUEI036689 dt.31/07/2014/ BE.NO.:6117685 dt.15/07/2014/ LIME STONE PWD-J (ASCOM 30)/ 8320 PKG/208480 KGS/ ,
sales,6306,01-08-2014,00704 / 20Microns,,CFS Charges,00704 / 20Microns,72647,JOBNO:00704/ AWB/BL.NO.:MSCUEI036689 dt.31/07/2014/ BE.NO.:6117685 dt.15/07/2014/ LIME STONE PWD-J (ASCOM 30)/ 8320 PKG/208480 KGS/ ,
sales,6306,01-08-2014,00704 / 20Microns,,DO CHARGES,00704 / 20Microns,77147,JOBNO:00704/ AWB/BL.NO.:MSCUEI036689 dt.31/07/2014/ BE.NO.:6117685 dt.15/07/2014/ LIME STONE PWD-J (ASCOM 30)/ 8320 PKG/208480 KGS/ ,
sales,6306,01-08-2014,00704 / 20Microns,,Service Tax,00704 / 20Microns,3263.04,JOBNO:00704/ AWB/BL.NO.:MSCUEI036689 dt.31/07/2014/ BE.NO.:6117685 dt.15/07/2014/ LIME STONE PWD-J (ASCOM 30)/ 8320 PKG/208480 KGS/ ,
sales,6307,01-08-2014,00894 / VALMAX,VALMAX,,00894 / VALMAX,0,JOBNO:00894/ AWB/BL.NO.:23213662294 dt.17/07/2014/ BE.NO.:6187840 dt.21/07/2014/ AUTOMOBILE TIRES (165/80R14 MA307B (W)62X(L) 62X(H)17 CM) [BIS REG NO.CM/L-4043139]/ 8 PKG/62 KGS/ ,
sales,6307,01-08-2014,00894 / VALMAX,,Transport Charges,00894 / VALMAX,2000,JOBNO:00894/ AWB/BL.NO.:23213662294 dt.17/07/2014/ BE.NO.:6187840 dt.21/07/2014/ AUTOMOBILE TIRES (165/80R14 MA307B (W)62X(L) 62X(H)17 CM) [BIS REG NO.CM/L-4043139]/ 8 PKG/62 KGS/ ,
sales,6307,01-08-2014,00894 / VALMAX,,Service Tax,00894 / VALMAX,0,JOBNO:00894/ AWB/BL.NO.:23213662294 dt.17/07/2014/ BE.NO.:6187840 dt.21/07/2014/ AUTOMOBILE TIRES (165/80R14 MA307B (W)62X(L) 62X(H)17 CM) [BIS REG NO.CM/L-4043139]/ 8 PKG/62 KGS/ ,
sales,6308,01-08-2014,00894 / VALMAX,VALMAX,,00894 / VALMAX,2061.8,JOBNO:00894/ AWB/BL.NO.:23213662294 dt.17/07/2014/ BE.NO.:6187840 dt.21/07/2014/ AUTOMOBILE TIRES (165/80R14 MA307B (W)62X(L) 62X(H)17 CM) [BIS REG NO.CM/L-4043139]/ 8 PKG/62 KGS/ ,
sales,6308,01-08-2014,00894 / VALMAX,,Transport Charges,00894 / VALMAX,2000,JOBNO:00894/ AWB/BL.NO.:23213662294 dt.17/07/2014/ BE.NO.:6187840 dt.21/07/2014/ AUTOMOBILE TIRES (165/80R14 MA307B (W)62X(L) 62X(H)17 CM) [BIS REG NO.CM/L-4043139]/ 8 PKG/62 KGS/ ,
sales,6308,01-08-2014,00894 / VALMAX,,Service Tax,00894 / VALMAX,61.8,JOBNO:00894/ AWB/BL.NO.:23213662294 dt.17/07/2014/ BE.NO.:6187840 dt.21/07/2014/ AUTOMOBILE TIRES (165/80R14 MA307B (W)62X(L) 62X(H)17 CM) [BIS REG NO.CM/L-4043139]/ 8 PKG/62 KGS/ ,
