Voucher Type,Invoice No,Date,Ref,Dr Account,Cr.Account,Cost Center,Amount,Narration
sales,6475,19-08-2014,10041 / APOLLO,,Documentation charges,10041 / APOLLO,250,JOBNO:10041/ AWB/BL.NO.: dt./ BE.NO.:4238933 dt.04/08/2014/ / 192 PKG/24595.200 KGS/ ,
sales,6475,19-08-2014,10041 / APOLLO,,Customs Inspection Charges,10041 / APOLLO,1500,JOBNO:10041/ AWB/BL.NO.: dt./ BE.NO.:4238933 dt.04/08/2014/ / 192 PKG/24595.200 KGS/ ,
sales,6475,19-08-2014,10041 / APOLLO,,Processing Expenses,10041 / APOLLO,1500,JOBNO:10041/ AWB/BL.NO.: dt./ BE.NO.:4238933 dt.04/08/2014/ / 192 PKG/24595.200 KGS/ ,
sales,6475,19-08-2014,10041 / APOLLO,,CFS Charges,10041 / APOLLO,5337,JOBNO:10041/ AWB/BL.NO.: dt./ BE.NO.:4238933 dt.04/08/2014/ / 192 PKG/24595.200 KGS/ ,
sales,6475,19-08-2014,10041 / APOLLO,,Service Tax,10041 / APOLLO,710.7,JOBNO:10041/ AWB/BL.NO.: dt./ BE.NO.:4238933 dt.04/08/2014/ / 192 PKG/24595.200 KGS/ ,
sales,6476,19-08-2014,10042 / APOLLO,APOLLO TYRES LIMITED,,10042 / APOLLO,11516.7,JOBNO:10042/ AWB/BL.NO.: dt./ BE.NO.:4238979 dt.04/08/2014/ / 192 PKG/24595.200 KGS/ ,
sales,6476,19-08-2014,10042 / APOLLO,,Agency charges,10042 / APOLLO,2500,JOBNO:10042/ AWB/BL.NO.: dt./ BE.NO.:4238979 dt.04/08/2014/ / 192 PKG/24595.200 KGS/ ,
sales,6476,19-08-2014,10042 / APOLLO,,Documentation charges,10042 / APOLLO,250,JOBNO:10042/ AWB/BL.NO.: dt./ BE.NO.:4238979 dt.04/08/2014/ / 192 PKG/24595.200 KGS/ ,
sales,6476,19-08-2014,10042 / APOLLO,,Customs Inspection Charges,10042 / APOLLO,1500,JOBNO:10042/ AWB/BL.NO.: dt./ BE.NO.:4238979 dt.04/08/2014/ / 192 PKG/24595.200 KGS/ ,
sales,6476,19-08-2014,10042 / APOLLO,,Processing Charges,10042 / APOLLO,1500,JOBNO:10042/ AWB/BL.NO.: dt./ BE.NO.:4238979 dt.04/08/2014/ / 192 PKG/24595.200 KGS/ ,
sales,6476,19-08-2014,10042 / APOLLO,,CFS Charges,10042 / APOLLO,5056,JOBNO:10042/ AWB/BL.NO.: dt./ BE.NO.:4238979 dt.04/08/2014/ / 192 PKG/24595.200 KGS/ ,
sales,6476,19-08-2014,10042 / APOLLO,,Service Tax,10042 / APOLLO,710.7,JOBNO:10042/ AWB/BL.NO.: dt./ BE.NO.:4238979 dt.04/08/2014/ / 192 PKG/24595.200 KGS/ ,
