Voucher Type,Invoice No,Date,Ref,Dr Account,Cr.Account,Cost Center,Amount,Narration
sales,6473,19-08-2014,10038 / CHEMPURE,CHEMPURE TECHNOLOGIES PRIVATE LTD,,10038 / CHEMPURE,14314.8,JOBNO:10038/ AWB/BL.NO.: dt./ BE.NO.:3983708 dt.21/07/2014/ MACHINERY/ 28 PKG/10330 KGS/ ,
sales,6473,19-08-2014,10038 / CHEMPURE,,Agency charges,10038 / CHEMPURE,3000,JOBNO:10038/ AWB/BL.NO.: dt./ BE.NO.:3983708 dt.21/07/2014/ MACHINERY/ 28 PKG/10330 KGS/ ,
sales,6473,19-08-2014,10038 / CHEMPURE,,CFS Charges,10038 / CHEMPURE,8135,JOBNO:10038/ AWB/BL.NO.: dt./ BE.NO.:3983708 dt.21/07/2014/ MACHINERY/ 28 PKG/10330 KGS/ ,
sales,6473,19-08-2014,10038 / CHEMPURE,,Misc. Expenses,10038 / CHEMPURE,2500,JOBNO:10038/ AWB/BL.NO.: dt./ BE.NO.:3983708 dt.21/07/2014/ MACHINERY/ 28 PKG/10330 KGS/ ,
sales,6473,19-08-2014,10038 / CHEMPURE,,Service Tax,10038 / CHEMPURE,679.8,JOBNO:10038/ AWB/BL.NO.: dt./ BE.NO.:3983708 dt.21/07/2014/ MACHINERY/ 28 PKG/10330 KGS/ ,
sales,6474,19-08-2014,10043 / APOLLO,APOLLO TYRES LIMITED,,10043 / APOLLO,11347.7,JOBNO:10043/ AWB/BL.NO.: dt./ BE.NO.:4242194 dt.04/08/2014/ METAL BOX/ 192 PKG/25129.800 KGS/ ,
sales,6474,19-08-2014,10043 / APOLLO,,Agency charges,10043 / APOLLO,2500,JOBNO:10043/ AWB/BL.NO.: dt./ BE.NO.:4242194 dt.04/08/2014/ METAL BOX/ 192 PKG/25129.800 KGS/ ,
sales,6474,19-08-2014,10043 / APOLLO,,Documentation charges,10043 / APOLLO,250,JOBNO:10043/ AWB/BL.NO.: dt./ BE.NO.:4242194 dt.04/08/2014/ METAL BOX/ 192 PKG/25129.800 KGS/ ,
sales,6474,19-08-2014,10043 / APOLLO,,Custom Inspection Charges,10043 / APOLLO,1500,JOBNO:10043/ AWB/BL.NO.: dt./ BE.NO.:4242194 dt.04/08/2014/ METAL BOX/ 192 PKG/25129.800 KGS/ ,
sales,6474,19-08-2014,10043 / APOLLO,,Processing Expenses,10043 / APOLLO,1500,JOBNO:10043/ AWB/BL.NO.: dt./ BE.NO.:4242194 dt.04/08/2014/ METAL BOX/ 192 PKG/25129.800 KGS/ ,
sales,6474,19-08-2014,10043 / APOLLO,,CFS Charges,10043 / APOLLO,4887,JOBNO:10043/ AWB/BL.NO.: dt./ BE.NO.:4242194 dt.04/08/2014/ METAL BOX/ 192 PKG/25129.800 KGS/ ,
sales,6474,19-08-2014,10043 / APOLLO,,Service Tax,10043 / APOLLO,710.7,JOBNO:10043/ AWB/BL.NO.: dt./ BE.NO.:4242194 dt.04/08/2014/ METAL BOX/ 192 PKG/25129.800 KGS/ ,
sales,6475,19-08-2014,10041 / APOLLO,APOLLO TYRES LIMITED,,10041 / APOLLO,11797.7,JOBNO:10041/ AWB/BL.NO.: dt./ BE.NO.:4238933 dt.04/08/2014/ / 192 PKG/24595.200 KGS/ ,
sales,6475,19-08-2014,10041 / APOLLO,,Agency charges,10041 / APOLLO,2500,JOBNO:10041/ AWB/BL.NO.: dt./ BE.NO.:4238933 dt.04/08/2014/ / 192 PKG/24595.200 KGS/ ,
